Date,Handy_Odessa_Agioi_30,Handy_Fawley_Rotterdam_30,Handy_Lavera_Augusta_30
2010-08-06T00:00:00Z,11234.43989,25335.93937,20982.75415
2010-08-13T00:00:00Z,11646.7366,25783.27335,20109.91471
2010-08-20T00:00:00Z,11769.70718,24995.42394,20264.9154
2010-08-27T00:00:00Z,10234.02489,24264.14942,20104.53799
2010-09-03T00:00:00Z,8766.60958,23842.07711,18995.84533
2010-09-10T00:00:00Z,8284.76239,21949.37591,18472.52743
2010-09-17T00:00:00Z,7352.69307,22244.48894,17485.05052
2010-09-24T00:00:00Z,8289.65887,22364.00692,18010.77156
2010-10-01T00:00:00Z,8039.46298,22116.31759,18177.36876
2010-10-08T00:00:00Z,7596.18297,21678.32481,17617.01972
2010-10-15T00:00:00Z,7601.72121,21793.99549,17633.064
2010-10-22T00:00:00Z,7777.86972,27201.96981,17841.49861
2010-10-29T00:00:00Z,10133.66934,25677.03533,20314.64376
2010-11-05T00:00:00Z,13337.13488,27258.08908,22194.36169
2010-11-12T00:00:00Z,13597.52333,25285.0853,21487.77119
2010-11-19T00:00:00Z,18406.6481,25423.09743,26097.83284
2010-11-26T00:00:00Z,18393.60469,24462.29525,26539.23297
2010-12-03T00:00:00Z,19906.4506,28119.15162,28064.52223
2010-12-10T00:00:00Z,23080.84187,29791.96893,30411.68082
2010-12-17T00:00:00Z,27373.60188,32364.79503,33006.85957
2010-12-24T00:00:00Z,26442.17432,33133.92864,33423.09768
2010-12-31T00:00:00Z,27220.28975,34440.40239,34211.25771
2011-01-07T00:00:00Z,18058.85714,35002.29259,25814.21553
2011-01-14T00:00:00Z,14948.24677,30252.14042,23584.22282
2011-01-21T00:00:00Z,9432.04923,30290.22645,23528.88057
2011-01-28T00:00:00Z,8409.73383,26689.23428,17380.73315
2011-02-04T00:00:00Z,7357.26846,24045.87778,15676.97441
2011-02-11T00:00:00Z,7387.93089,22617.6044,15713.86925
2011-02-18T00:00:00Z,8622.10362,22885.55761,16942.74233
2011-02-25T00:00:00Z,8367.84458,24667.84101,18072.3927
2011-03-04T00:00:00Z,14577.58028,27905.38169,21291.51299
2011-03-11T00:00:00Z,17704.52615,32732.04895,24017.40658
2011-03-18T00:00:00Z,15756.13737,38865.19346,24574.37469
2011-03-25T00:00:00Z,18060.26518,38578.81119,25355.55065
2011-04-01T00:00:00Z,17561.00699,37599.05396,25876.33069
2011-04-08T00:00:00Z,17490.7225,34939.02054,24676.10613
2011-04-15T00:00:00Z,16096.05335,31949.14104,24795.41356
2011-04-22T00:00:00Z,16300.57648,32086.56737,25043.8529
2011-04-29T00:00:00Z,15491.44359,32037.63079,24666.28164
